model,scenario,ssp
AIM/CGE 2.0,SSP1-26,1
AIM/CGE 2.0,SSP1-34,1
AIM/CGE 2.0,SSP1-45,1
AIM/CGE 2.0,SSP1-Baseline,1
AIM/CGE 2.0,SSP4-26,4
AIM/CGE 2.0,SSP4-34,4
AIM/CGE 2.0,SSP4-45,4
AIM/CGE 2.0,SSP4-Baseline,4
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,2
AIM/CGE 2.1,CD-LINKS_INDCi,2
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,2
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,2
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,2
AIM/CGE 2.1,CD-LINKS_NPi2020_400,2
AIM/CGE 2.1,CO_Bridge,2
AIM/CGE 2.1,CO_CurPol,2
AIM/CGE 2.2,EN_INDCi2030_1000f,2
AIM/CGE 2.2,EN_INDCi2030_1200,2
AIM/CGE 2.2,EN_INDCi2030_1200f,2
AIM/CGE 2.2,EN_INDCi2030_1400,2
AIM/CGE 2.2,EN_INDCi2030_1400f,2
AIM/CGE 2.2,EN_INDCi2030_1600,2
AIM/CGE 2.2,EN_INDCi2030_1600f,2
AIM/CGE 2.2,EN_INDCi2030_1800,2
AIM/CGE 2.2,EN_INDCi2030_1800f,2
AIM/CGE 2.2,EN_INDCi2030_800f,2
AIM/CGE 2.2,EN_INDCi2030_900f,2
AIM/CGE 2.2,EN_INDCi2100,2
AIM/CGE 2.2,EN_NPi2020_1000,2
AIM/CGE 2.2,EN_NPi2020_1000f,2
AIM/CGE 2.2,EN_NPi2020_1200,2
AIM/CGE 2.2,EN_NPi2020_1200f,2
AIM/CGE 2.2,EN_NPi2020_1400,2
AIM/CGE 2.2,EN_NPi2020_1400f,2
AIM/CGE 2.2,EN_NPi2020_1600,2
AIM/CGE 2.2,EN_NPi2020_1600f,2
AIM/CGE 2.2,EN_NPi2020_1800,2
AIM/CGE 2.2,EN_NPi2020_1800f,2
AIM/CGE 2.2,EN_NPi2020_300f,2
AIM/CGE 2.2,EN_NPi2020_400f,2
AIM/CGE 2.2,EN_NPi2020_500f,2
AIM/CGE 2.2,EN_NPi2020_600,2
AIM/CGE 2.2,EN_NPi2020_600f,2
AIM/CGE 2.2,EN_NPi2020_700,2
AIM/CGE 2.2,EN_NPi2020_700f,2
AIM/CGE 2.2,EN_NPi2020_800,2
AIM/CGE 2.2,EN_NPi2020_800f,2
AIM/CGE 2.2,EN_NPi2020_900,2
AIM/CGE 2.2,EN_NPi2020_900f,2
AIM/CGE 2.2,EN_NPi2100,2
AIM/Hub-Global 2.0,1.5C,2
AIM/Hub-Global 2.0,2.5C,2
AIM/Hub-Global 2.0,2C,2
AIM/Hub-Global 2.0,Baseline,2
AIM/Hub-Global 2.0,WB2C,2
C-ROADS-5.005,Ratchet-1.5-allCDR,2
C-ROADS-5.005,Ratchet-1.5-limCDR,2
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,2
C-ROADS-5.005,Ratchet-1.5-noCDR,2
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,2
C-ROADS-5.005,Reference,2
COFFEE 1.1,CO_2Deg2020,2
COFFEE 1.1,CO_2Deg2030,2
COFFEE 1.1,CO_BAU,2
COFFEE 1.1,CO_Bridge,2
COFFEE 1.1,CO_CurPol,2
COFFEE 1.1,CO_GPP,2
COFFEE 1.1,CO_NDCplus,2
COFFEE 1.1,EN_INDCi2030_1000,2
COFFEE 1.1,EN_INDCi2030_1000_NDCp,2
COFFEE 1.1,EN_INDCi2030_1000f,2
COFFEE 1.1,EN_INDCi2030_1200,2
COFFEE 1.1,EN_INDCi2030_1200f,2
COFFEE 1.1,EN_INDCi2030_1400,2
COFFEE 1.1,EN_INDCi2030_1400f,2
COFFEE 1.1,EN_INDCi2030_1600,2
COFFEE 1.1,EN_INDCi2030_1600f,2
COFFEE 1.1,EN_INDCi2030_1800,2
COFFEE 1.1,EN_INDCi2030_1800f,2
COFFEE 1.1,EN_INDCi2030_2000,2
COFFEE 1.1,EN_INDCi2030_2000f,2
COFFEE 1.1,EN_INDCi2030_2500,2
COFFEE 1.1,EN_INDCi2030_2500f,2
COFFEE 1.1,EN_INDCi2030_400f,2
COFFEE 1.1,EN_INDCi2030_500,2
COFFEE 1.1,EN_INDCi2030_500f,2
COFFEE 1.1,EN_INDCi2030_600,2
COFFEE 1.1,EN_INDCi2030_600_NDCp,2
COFFEE 1.1,EN_INDCi2030_600f,2
COFFEE 1.1,EN_INDCi2030_700,2
COFFEE 1.1,EN_INDCi2030_700f,2
COFFEE 1.1,EN_INDCi2030_800,2
COFFEE 1.1,EN_INDCi2030_800f,2
COFFEE 1.1,EN_INDCi2030_900,2
COFFEE 1.1,EN_INDCi2030_900f,2
COFFEE 1.1,EN_INDCi2100,2
COFFEE 1.1,EN_INDCi2100_COV_NDCp,2
COFFEE 1.1,EN_NPi2020_1000,2
COFFEE 1.1,EN_NPi2020_1000f,2
COFFEE 1.1,EN_NPi2020_1200,2
COFFEE 1.1,EN_NPi2020_1200f,2
COFFEE 1.1,EN_NPi2020_1400,2
COFFEE 1.1,EN_NPi2020_1400f,2
COFFEE 1.1,EN_NPi2020_1600,2
COFFEE 1.1,EN_NPi2020_1600f,2
COFFEE 1.1,EN_NPi2020_1800,2
COFFEE 1.1,EN_NPi2020_1800f,2
COFFEE 1.1,EN_NPi2020_2000,2
COFFEE 1.1,EN_NPi2020_2000f,2
COFFEE 1.1,EN_NPi2020_2500,2
COFFEE 1.1,EN_NPi2020_2500f,2
COFFEE 1.1,EN_NPi2020_400,2
COFFEE 1.1,EN_NPi2020_400_lowBECCS,2
COFFEE 1.1,EN_NPi2020_400f,2
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,2
COFFEE 1.1,EN_NPi2020_500,2
COFFEE 1.1,EN_NPi2020_500f,2
COFFEE 1.1,EN_NPi2020_600,2
COFFEE 1.1,EN_NPi2020_600f,2
COFFEE 1.1,EN_NPi2020_700,2
COFFEE 1.1,EN_NPi2020_700f,2
COFFEE 1.1,EN_NPi2020_800,2
COFFEE 1.1,EN_NPi2020_800f,2
COFFEE 1.1,EN_NPi2020_900,2
COFFEE 1.1,EN_NPi2020_900f,2
COFFEE 1.1,EN_NPi2100,2
EPPA 6,2CNow_Gradual,2
EPPA 6,Paris1.5C_OptTax,2
EPPA 6,Paris2C_Gradual,2
EPPA 6,Paris2C_OptTax,2
EPPA 6,ParisFlat,2
EPPA 6,ParisForever,2
EPPA 6,Ref,2
GCAM 4.2,SSP1-19,1
GCAM 4.2,SSP3-Baseline,3
GCAM 4.2,SSP4-Baseline,4
GCAM 5.2,"NGFS1_Current policies (Hot house world, Rep)",2
GCAM 5.2,"NGFS1_Immediate 2C with CDR (Orderly, Rep)",2
GCAM 5.3,NGFS2_Below 2°C,2
GCAM 5.3,NGFS2_Current Policies,2
GCAM 5.3,NGFS2_Delayed Transition,2
GCAM 5.3,NGFS2_Divergent Net Zero Policies,2
GCAM 5.3,NGFS2_Nationally Determined Contributions (NDCs),2
GCAM 5.3,NGFS2_Net-Zero 2050,2
GCAM 5.3,R_BAU,2
GCAM 5.3,R_MAC_30_n0,2
GCAM 5.3,R_MAC_35_n0,2
GCAM 5.3,R_MAC_35_n8,2
GCAM 5.3,R_MAC_40_n0,2
GCAM 5.3,R_MAC_40_n8,2
GCAM 5.3,R_MAC_45_n0,2
GCAM 5.3,R_MAC_45_n8,2
GCAM 5.3,R_MAC_50_n0,2
GCAM 5.3,R_MAC_50_n8,2
GCAM 5.3,R_MAC_55_n0,2
GCAM 5.3,R_MAC_55_n8,2
GCAM 5.3,R_MAC_60_n0,2
GCAM 5.3,R_MAC_60_n8,2
GCAM 5.3,R_MAC_65_n0,2
GCAM 5.3,R_MAC_65_n8,2
GCAM 5.3,R_MAC_70_n0,2
GCAM 5.3,R_MAC_70_n8,2
GCAM 5.3,R_MAC_75_n0,2
GCAM 5.3,R_MAC_75_n8,2
GCAM 5.3,R_MAC_80_n0,2
GCAM 5.3,R_MAC_80_n8,2
GCAM 5.3,R_MAC_85_n0,2
GCAM 5.3,R_MAC_85_n8,2
GCAM 5.3,R_MAC_90_n0,2
GCAM 5.3,R_MAC_90_n8,2
GCAM 5.3,R_MAC_95_n0,2
GCAM 5.3,R_MAC_95_n8,2
GCAM 5.3,R_MAC_99_n0,2
GCAM 5.3,R_MAC_99_n8,2
GCAM 5.3,SSP_SSP2,2
GCAM 5.3,SSP_SSP3,3
GCAM 5.3,SSP_SSP4,4
GCAM 5.3,SSP_SSP5,5
GCAM-PR 5.3,PR_CP_PriceOnly,2
GCAM-PR 5.3,PR_NDC_PriceOnly,2
GCAM-PR 5.3,PR_baseline,2
GEM-E3_V2021,EN_INDCi2030_1000,2
GEM-E3_V2021,EN_INDCi2030_1000_COV,2
GEM-E3_V2021,EN_INDCi2030_1000_COV_NDCp,2
GEM-E3_V2021,EN_INDCi2030_1000_NDCp,2
GEM-E3_V2021,EN_INDCi2030_1000f,2
GEM-E3_V2021,EN_INDCi2030_1000f_COV,2
GEM-E3_V2021,EN_INDCi2030_1000f_COV_NDCp,2
GEM-E3_V2021,EN_INDCi2030_1000f_NDCp,2
GEM-E3_V2021,EN_INDCi2030_1400,2
GEM-E3_V2021,EN_INDCi2030_1400f,2
GEM-E3_V2021,EN_INDCi2030_1800,2
GEM-E3_V2021,EN_INDCi2030_1800f,2
GEM-E3_V2021,EN_INDCi2030_600f,2
GEM-E3_V2021,EN_INDCi2030_600f_COV,2
GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp,2
GEM-E3_V2021,EN_INDCi2030_600f_NDCp,2
GEM-E3_V2021,EN_INDCi2030_800,2
GEM-E3_V2021,EN_INDCi2030_800f,2
GEM-E3_V2021,EN_INDCi2100,2
GEM-E3_V2021,EN_INDCi2100_COV,2
GEM-E3_V2021,EN_INDCi2100_COV_NDCp,2
GEM-E3_V2021,EN_INDCi2100_NDCp,2
GEM-E3_V2021,EN_NPi2020_1000,2
GEM-E3_V2021,EN_NPi2020_1000_COV,2
GEM-E3_V2021,EN_NPi2020_1000f,2
GEM-E3_V2021,EN_NPi2020_1000f_COV,2
GEM-E3_V2021,EN_NPi2020_1400,2
GEM-E3_V2021,EN_NPi2020_1400f,2
